"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2014-05-13","78.1","1.71","5.94","Keuchel, Dallas",455139,572971,"null","called_strike",,,,,"3","Robinson Chirinos reaches on a fielding error by right fielder George Springer.   Robinson Chirinos to 2nd.","R","R","L","HOU","TEX","S","null","null","1","1",2014,"-0.67","0.36","0.48","2.67","null","null","null","1","8","Top","null","null",,,"449786",,"140513_213630",-1.6,-113.73,-0.25,-4.83,28.84,-30.73,"3.16","1.39","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","63","3","Slider","8","0","0","8","0","8","0","8","null","null"
"FF","2014-05-13","90.3","1.31","5.78","Keuchel, Dallas",455139,572971,"null","foul",,,,,"13","Robinson Chirinos reaches on a fielding error by right fielder George Springer.   Robinson Chirinos to 2nd.","R","R","L","HOU","TEX","S","null","null","1","0",2014,"0.9","1.22","-0.86","1.89","null","null","null","1","8","Top","null","null",,,"449786",,"140513_213528",-8.07,-131.17,-6.18,12.72,31.03,-19.82,"3.01","1.37","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","63","2","4-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"FF","2014-05-13","89.8","1.48","5.95","Keuchel, Dallas",455139,572971,"null","ball",,,,,"12","Robinson Chirinos reaches on a fielding error by right fielder George Springer.   Robinson Chirinos to 2nd.","R","R","L","HOU","TEX","B","null","null","0","0",2014,"1.06","1.4","0.54","3.78","null","null","null","1","8","Top","null","null",,,"449786",,"140513_213514",-5.26,-130.68,-2.08,14.61,31.6,-17.82,"3.24","1.46","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","63","1","4-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"SL","2014-05-13","78.9","1.71","5.74","Keuchel, Dallas",547982,572971,"strikeout","swinging_strike",,,,,"13","Leonys Martin strikes out swinging.","R","L","L","HOU","TEX","S","2","null","1","2",2014,"-0.42","0.03","-0.79","0.93","null","null","null","0","8","Top","null","null",,,"449786",,"140513_213444",-5,-114.8,-3.23,-2.69,27.56,-33.68,"3.26","1.51","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0","null","0","0","null","62","4","Slider","8","0","0","8","0","8","0","8","null","null"
"SL","2014-05-13","79.9","1.53","5.79","Keuchel, Dallas",547982,572971,"null","swinging_strike",,,,,"13","Leonys Martin strikes out swinging.","R","L","L","HOU","TEX","S","null","null","1","1",2014,"-0.98","-0.45","-0.61","-0.05","null","null","null","0","8","Top","null","null",,,"449786",,"140513_213422",-3.06,-116.09,-4.79,-8.14,27.58,-38.15,"3.26","1.51","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","62","3","Slider","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","89.4","1.33","5.82","Keuchel, Dallas",547982,572971,"null","called_strike",,,,,"7","Leonys Martin strikes out swinging.","R","L","L","HOU","TEX","S","null","null","1","0",2014,"1.74","0.58","-0.52","2.13","null","null","null","0","8","Top","null","null",,,"449786",,"140513_213407",-9.19,-129.85,-4.05,22.84,28,-27.58,"3.56","1.51","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","62","2","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","88.4","1.64","5.85","Keuchel, Dallas",547982,572971,"null","ball",,,,,"14","Leonys Martin strikes out swinging.","R","L","L","HOU","TEX","B","null","null","0","0",2014,"1.67","0.74","1.03","2.12","null","null","null","0","8","Top","null","null",,,"449786",,"140513_213354",-5.79,-128.52,-4.3,21.46,29.31,-25.85,"3.45","1.51","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","62","1","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","89.1","1.45","5.8","Keuchel, Dallas",574831,572971,"field_out","hit_into_play",,,,,"8","Michael Choice grounds out, shortstop Jonathan Villar to first baseman Jesus Guzman.","R","R","L","HOU","TEX","X","6","ground_ball","3","1",2014,"1.76","0.94","-0.01","1.81","null","null","null","2","7","Top",104.42,160.64,,,"449786",,"140513_212442",-8.15,-129.46,-5.51,22.64,31.05,-23.48,"3.14","1.32","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0","null","0","0","null","58","5","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"SI","2014-05-13","84.7","-1.02","5.6","Germano, Justin",451594,430683,"field_out","hit_into_play",,,,,"13","Dexter Fowler grounds out, second baseman Rougned Odor to first baseman Prince Fielder.","R","L","R","HOU","TEX","X","4","ground_ball","1","2",2014,"-0.69","0.58","-0.89","2.16","null","null","543807","2","5","Bot",138.55,155.62,,,"455139",,"140513_210325",1.57,-123.34,-2.43,-5.99,30.83,-28.16,"3.54","1.65","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","0","null","0","0","null","48","4","Sinker","8","0","8","0","0","8","8","0","null","null"
"CU","2014-05-13","71.3","-1.38","5.96","Germano, Justin",451594,430683,"null","ball",,,,,"13","Dexter Fowler grounds out, second baseman Rougned Odor to first baseman Prince Fielder.","R","L","R","HOU","TEX","B","null","null","0","2",2014,"2.33","-1.22","-1.33","2.37","null","null","543807","2","5","Bot","null","null",,,"455139",,"140513_210306",-4.52,-103.7,3.25,18.69,21.75,-42.57,"3.41","1.68","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","48","3","Curveball","8","0","8","0","0","8","8","0","null","null"
"FC","2014-05-13","85.6","1.45","5.73","Keuchel, Dallas",574831,572971,"null","ball",,,,,"13","Michael Choice grounds out, shortstop Jonathan Villar to first baseman Jesus Guzman.","R","R","L","HOU","TEX","B","null","null","2","1",2014,"1.01","0.72","-0.41","1.15","null","null","null","2","7","Top","null","null",,,"449786",,"140513_212428",-7.09,-124.29,-5.66,12.48,30.7,-26.57,"3.42","1.43","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","58","4","Cutter","8","0","0","8","0","8","0","8","null","null"
"SI","2014-05-13","84.7","-1.05","5.68","Germano, Justin",451594,430683,"null","foul",,,,,"13","Dexter Fowler grounds out, second baseman Rougned Odor to first baseman Prince Fielder.","R","L","R","HOU","TEX","S","null","null","0","1",2014,"-1.08","-0.09","-0.93","2.08","null","null","543807","2","5","Bot","null","null",,,"455139",,"140513_210240",2.39,-123.34,-1.25,-10.08,35.05,-35.03,"3.54","1.65","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","48","2","Sinker","8","0","8","0","0","8","8","0","null","null"
"FC","2014-05-13","84.0","1.54","5.86","Keuchel, Dallas",574831,572971,"null","called_strike",,,,,"5","Michael Choice grounds out, shortstop Jonathan Villar to first baseman Jesus Guzman.","R","R","L","HOU","TEX","S","null","null","2","0",2014,"0.7","0.79","-0.08","2.43","null","null","null","2","7","Top","null","null",,,"449786",,"140513_212417",-5.69,-122.14,-2.73,8.7,30.27,-26.04,"3.39","1.39","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","58","3","Cutter","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","89.3","1.43","5.96","Keuchel, Dallas",574831,572971,"null","ball",,,,,"2","Michael Choice grounds out, shortstop Jonathan Villar to first baseman Jesus Guzman.","R","R","L","HOU","TEX","B","null","null","1","0",2014,"1.72","0.73","0.02","3.08","null","null","null","2","7","Top","null","null",,,"449786",,"140513_212356",-7.99,-129.81,-2.3,22.49,29.05,-25.86,"3.39","1.43","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","58","2","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"SI","2014-05-13","85.6","-0.76","5.47","Germano, Justin",451594,430683,"null","swinging_strike",,,,,"13","Dexter Fowler grounds out, second baseman Rougned Odor to first baseman Prince Fielder.","R","L","R","HOU","TEX","S","null","null","0","0",2014,"-1.31","0.18","-0.12","1.04","null","null","543807","2","5","Bot","null","null",,,"455139",,"140513_210221",4.17,-124.55,-3.98,-12.72,35.9,-32.33,"3.54","1.65","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","48","1","Sinker","8","0","8","0","0","8","8","0","null","null"
